tractor_homebase,tractor_depot,shift_date,day_of_week,shift_count,shift_length,paid_hours,working_time,breaks,poa,lead_in_time,driving_time,on_site_time,inter_plan_time,lead_out_time,total_Or_Average,stobart_feed_file_date
MORBEL,Bellshill,23-07-2024,Tue,38,420:59,401:59,352:40,68:15,00:04,46:34,213:11,81:03,186:54,65:41,Total Time
MORBR7,Willow Green,23-07-2024,Tue,57,592:53,564:23,486:14,102:46,03:53,74:44,326:13,140:37,186:54,64:35,Total Time
MORBUR,Burton Latimer,23-07-2024,Tue,64,714:45,682:45,573:47,136:27,04:31,110:01,386:39,169:45,186:54,56:45,Total Time
MORNO1,Gadbrook,23-07-2024,Tue,83,852:49,811:19,681:07,167:11,04:31,103:39,423:20,217:47,186:54,72:09,Total Time
MORSIT,Sittinbourne,23-07-2024,Tue,29,308:15,293:45,237:40,65:13,05:22,45:36,164:31,66:31,186:54,38:44,Total Time
MORSTO,Stockton on Tees,23-07-2024,Tue,22,212:59,201:59,178:03,31:27,03:29,19:15,79:00,42:43,186:54,39:39,Total Time
MORWAK,Wakefield,23-07-2024,Tue,68,694:02,660:02,552:46,129:15,12:01,89:38,296:12,166:50,186:54,94:51,Total Time
MORBEL,Bellshill,23-07-2024,Tue,38,11:04,10:34,09:16,01:47,00:00,01:13,05:36,02:07,00:43,01:43,Average Time
MORBR7,Willow Green,23-07-2024,Tue,57,10:24,09:54,08:31,01:48,00:04,01:18,05:43,02:28,00:05,01:07,Average Time
MORBUR,Burton Latimer,23-07-2024,Tue,64,11:10,10:40,08:57,02:07,00:04,01:43,06:02,02:39,00:15,00:53,Average Time
MORNO1,Gadbrook,23-07-2024,Tue,83,10:16,09:46,08:12,02:00,00:03,01:14,05:06,02:37,00:32,00:52,Average Time
MORSIT,Sittinbourne,23-07-2024,Tue,29,10:37,10:07,08:11,02:14,00:11,01:34,05:40,02:17,00:26,01:20,Average Time
MORSTO,Stockton on Tees,23-07-2024,Tue,22,09:40,09:10,08:05,01:25,00:09,00:52,03:35,01:56,01:28,01:48,Average Time
MORWAK,Wakefield,23-07-2024,Tue,68,10:12,09:42,08:07,01:54,00:10,01:19,04:21,02:27,00:42,01:23,Average Time